NIU,PERSO_JUR,REGIME_2022,PROFIL_2022,CENTRE_2022,CRI_2022,QUAL_NIU_2022,LOG_CA_2022,LOG_CA_EXP_2022,LOG_VAL_EXP_2022,LOG_VAL_IMP_2022,RATIO_EXP_CA_2022,RATIO_IMP_CA_2022,ECART_EXP_DOUANE_2022,RATIO_ECART_2022,EVOL_CA_2122,INTENSITE_EXP_2022,INTENSITE_IMP_2022,NIU_MAUVAIS,SCORE_FICH_2022,SCORE_DEV_2022,SCORE_RCA_2022,FRAUDE_2022
121,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,18.475037339139444,0.0,105586104.0,0.0,0.0,0.0,0,1,0,1,0,0,0
122,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,19.06437653803358,0.0,190350284.0,0.0,0.0,0.0,0,1,0,1,0,0,0
123,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,19.321391670494027,0.0,246135232.0,0.0,0.0,0.0,0,1,0,2,0,0,0
124,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,20.681089756273494,0.0,958700956.0,0.0,0.0,0.0,0,1,0,1,0,0,0
125,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,18.893688275711966,0.0,160481346.0,0.0,0.0,0.0,0,1,0,1,0,0,0
126,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,22.52400436929518,0.0,6054116974.0,0.0,0.0,0.0,0,1,0,1,0,0,0
127,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,21.47816574630018,0.0,2127398579.0,0.0,0.0,0.0,0,1,0,1,0,0,0
128,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,18.719062749898406,0.0,134767650.0,0.0,0.0,0.0,0,1,0,1,0,0,0
129,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,20.178650856934734,0.0,580065076.0,0.0,0.0,0.0,0,1,0,1,0,0,0
130,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,21.208892634572567,0.0,1625193356.0,0.0,0.0,0.0,0,1,0,1,0,0,0
